1 | 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 21 22 | 19.10 36.51 45.99 45.98 42.47 39.70 54.78 48.33 52.60 174.27 31.82 43.43 33.50 19.64 154.26 104.00 43.06 15.54 26.14 183.55
2 | 1 2 3 4 5 6 7 8 9 10 13 14 15 16 17 18 19 20 22 23 | 18.69 36.51 45.99 45.98 48.43 35.15 54.78 48.33 52.60 174.27 31.82 43.43 32.80 19.64 154.26 104.00 43.06 205.82 26.14 183.55
3 | 1 3 4 5 8 9 10 11 13 15 | 152.85 152.94 118.50 152.95 39.00 121.00 139.50 67.30 13.60 139.48
4 | 1 2 3 4 7 9 10 12 14 16 17 18 19 21 24 | 85.30 71.72 73.95 88.30 140.85 122.20 149.70 152.10 154.50 39.00 121.00 139.50 67.30 13.60 61.10
5 | 1 2 3 4 5 6 7 8 9 11 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 30 31 32 | 69.43 69.00 33.20 49.53 39.00 41.96 50.57 46.92 69.26 171.50 50.50 43.29 41.13 22.37 52.93 27.97 26.26 39.26 73.62 75.45 41.63 10.58 28.67 20.18 20.18 12.38 12.79 15.20
6 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 26 27 28 29 31 | 69.43 69.01 24.54 51.04 41.64 39.73 54.11 37.53 56.51 43.10 39.36 21.16 52.93 27.97 24.13 39.26 73.62 75.45 41.63 28.67 20.18 20.18 10.58 12.38 11.97 46.60 212.67 14.49
7 | 1 2 3 4 5 6 7 | 131.70 120.30 136.70 118.40 162.90 114.40 173.60
8 | 1 2 3 4 5 6 7 | 130.21 128.47 133.81 128.47 130.21 129.34 172.54
9 | 1 2 3 4 5 7 8 9 10 11 12 13 | 35.20 27.35 41.19 47.54 217.00 30.90 127.62 133.49 20.71 14.34 35.91 175.43
10 | 1 2 3 4 5 7 8 9 10 11 12 13 16 | 35.20 27.35 41.19 47.54 217.00 30.90 127.62 133.49 20.71 14.34 35.91 173.52 52.02
11 | 1 2 3 5 6 7 10 12 | 157.20 107.40 187.00 107.40 157.20 176.80 56.50 56.50
12 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20 23 27 | 148.30 145.80 115.80 121.90 132.19 113.20 37.33 39.80 87.48 41.19 126.70 121.60 114.71 144.50 147.14 109.89 55.97 176.44 72.90 55.97
13 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20 23 26 28 | 148.69 147.52 113.80 121.89 132.19 113.80 37.33 39.80 87.48 41.19 126.70 121.60 114.71 144.50 147.14 109.89 55.97 176.44 72.90 55.60 55.77
14 | 1 2 3 4 5 6 7 8 9 10 12 14 15 16 17 18 19 20 22 25 | 115.15 145.80 147.45 113.20 132.90 121.90 33.90 43.80 48.26 63.96 87.60 73.30 133.60 119.06 114.90 146.27 147.59 110.00 55.70 55.97
15 | 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 20 22 26 | 147.45 145.80 115.15 121.60 133.50 112.05 39.10 41.13 41.13 39.10 133.50 121.60 115.15 145.80 147.45 112.05 55.97 65.53 65.53 55.97
