C00001510 | Coffea arabica
C00001510 | Coffea canephora
C00001510 | Coffea dewevrei
C00001510 | Coffea eugeniodes
C00001510 | Coffea kianjavatensis
C00001510 | Coffea liberica
C00001510 | Coffea racemosa
C00001510 | Coffea salvatrix
C00001555 | Coffea spp.
C00002724 | Coffea arabica
C00002751 | Coffea arabica
C00002751 | Coffea robusta
C00003407 | Coffea spp.
C00003453 | Coffea vanneyi
C00003453 | Coffea vianneyi
C00003672 | Coffea canephora
C00003672 | Coffea charrieriana
C00003672 | Coffea congensis
C00003672 | Coffea eugenioides
C00003672 | Coffea hetero calyx
C00003672 | Coffea humblotiana
C00003672 | Coffea humilis
C00003672 | Coffea kapakata
C00003672 | Coffea liberica var.dewevrei
C00003672 | Coffea liberica var.liberica
C00003672 | Coffea pseudozanguebariae
C00003672 | Coffea racemosa
C00003672 | Coffea salvatrix
C00003672 | Coffea sessiliflora
C00003672 | Coffea stenophylla
C00007222 | Coffea arabica
C00007222 | Coffea canephora
C00007222 | Coffea dewevrei
C00007222 | Coffea eugeniodes
C00007222 | Coffea kianjavatensis
C00007222 | Coffea liberica
C00007222 | Coffea racemosa
C00007222 | Coffea salvatrix
C00007224 | Coffea arabica
C00007224 | Coffea canephora
C00007224 | Coffea dewevrei
C00007224 | Coffea eugeniodes
C00007224 | Coffea kianjavatensis
C00007224 | Coffea liberica
C00007224 | Coffea racemosa
C00007224 | Coffea salvatrix
C00007322 | Coffea canephora
C00007322 | Coffea charrieriana
C00007322 | Coffea congensis
C00007322 | Coffea eugenioides
C00007322 | Coffea hetero calyx
C00007322 | Coffea humblotiana
C00007322 | Coffea humilis
C00007322 | Coffea kapakata
C00007322 | Coffea liberica var.dewevrei
C00007322 | Coffea liberica var.liberica
C00007322 | Coffea pseudozanguebariae
C00007322 | Coffea racemosa
C00007322 | Coffea salvatrix
C00007322 | Coffea sessiliflora
C00007322 | Coffea stenophylla
C00007326 | Coffea arabica
C00007326 | Coffea canephora
C00007326 | Coffea dewevrei
C00007326 | Coffea eugeniodes
C00007326 | Coffea kianjavatensis
C00007326 | Coffea liberica
C00007326 | Coffea racemosa
C00007326 | Coffea salvatrix
C00007396 | Coffea arabica
C00007396 | Coffea canephora
C00007396 | Coffea dewevrei
C00007396 | Coffea eugeniodes
C00007396 | Coffea kianjavatensis
C00007396 | Coffea liberica
C00007396 | Coffea racemosa
C00007396 | Coffea salvatrix
C00007572 | Coffea arabica
C00007572 | Coffea canephora
C00007572 | Coffea dewevrei
C00007572 | Coffea eugeniodes
C00007572 | Coffea kianjavatensis
C00007572 | Coffea liberica
C00007572 | Coffea racemosa
C00007572 | Coffea salvatrix
C00019347 | Coffea arabica
C00019347 | Coffea canephora
C00019347 | Coffea dewevrei
C00019347 | Coffea eugeniodes
C00019347 | Coffea kianjavatensis
C00019347 | Coffea liberica
C00019347 | Coffea racemosa
C00019347 | Coffea salvatrix
C00029540 | Coffea sp.
C00032163 | Coffea canephora
C00032163 | Coffea charrieriana
C00032163 | Coffea congensis
C00032163 | Coffea eugenioides
C00032163 | Coffea hetero calyx
C00032163 | Coffea humblotiana
C00032163 | Coffea humilis
C00032163 | Coffea kapakata
C00032163 | Coffea liberica var.dewevrei
C00032163 | Coffea liberica var.liberica
C00032163 | Coffea pseudozanguebariae
C00032163 | Coffea racemosa
C00032163 | Coffea salvatrix
C00032163 | Coffea sessiliflora
C00032163 | Coffea stenophylla
C00033727 | Coffea canephora
C00033727 | Coffea charrieriana
C00033727 | Coffea congensis
C00033727 | Coffea eugenioides
C00033727 | Coffea hetero calyx
C00033727 | Coffea humblotiana
C00033727 | Coffea humilis
C00033727 | Coffea kapakata
C00033727 | Coffea liberica var.dewevrei
C00033727 | Coffea liberica var.liberica
C00033727 | Coffea pseudozanguebariae
C00033727 | Coffea racemosa
C00033727 | Coffea salvatrix
C00033727 | Coffea sessiliflora
C00033727 | Coffea stenophylla
C00033758 | Coffea canephora
C00033758 | Coffea charrieriana
C00033758 | Coffea congensis
C00033758 | Coffea eugenioides
C00033758 | Coffea hetero calyx
C00033758 | Coffea humblotiana
C00033758 | Coffea humilis
C00033758 | Coffea kapakata
C00033758 | Coffea liberica var.dewevrei
C00033758 | Coffea liberica var.liberica
C00033758 | Coffea pseudozanguebariae
C00033758 | Coffea racemosa
C00033758 | Coffea salvatrix
C00033758 | Coffea sessiliflora
C00033758 | Coffea stenophylla
C00034312 | Coffea dewevrei
C00034312 | Coffea liberica
C00039930 | Coffea arabica
C00039930 | Coffea canephora
C00039930 | Coffea dewevrei
C00039930 | Coffea eugeniodes
C00039930 | Coffea kianjavatensis
C00039930 | Coffea liberica
C00039930 | Coffea racemosa
C00039930 | Coffea salvatrix
C00043196 | Coffea arabica
C00043196 | Coffea canephora
C00043196 | Coffea dewevrei
C00043196 | Coffea eugeniodes
C00043196 | Coffea kianjavatensis
C00043196 | Coffea liberica
C00043196 | Coffea racemosa
C00043196 | Coffea salvatrix
C00051956 | Coffea dewevrei
C00051956 | Coffea liberica
C00051957 | Coffea dewevrei
C00051957 | Coffea liberica
C00051958 | Coffea arabica
C00051958 | Coffea canephora
C00051958 | Coffea dewevrei
C00051958 | Coffea eugeniodes
C00051958 | Coffea kianjavatensis
C00051958 | Coffea liberica
C00051958 | Coffea racemosa
C00051958 | Coffea salvatrix
C00051959 | Coffea dewevrei
C00051959 | Coffea liberica
C00002838 | Commitheca liebrechtsiana
C00002862 | Commitheca liebrechtsiana
C00002499 | Coprosma propinqua
C00002499 | Coprosma robusta
C00002499 | Coprosma rotundifolia
C00002499 | Coprosma tenuicaulis
C00002838 | Coprosma rotundifolia
C00002844 | Coprosma australis
C00002862 | Coprosma linariifolia Hook.f.
C00002862 | Coprosma robusta
C00002862 | Coprosma rotundifolia
C00002862 | Coprosma spp.
C00002862 | Coprosma tenuicaulis
C00003072 | Coprosma propinqua
C00003072 | Coprosma pyrifolium
C00003072 | Coprosma robusta
C00005516 | Coprosma spp.
C00005530 | Coprosma spp.
C00005553 | Coprosma sp.
C00005732 | Coprosma linariifolia
C00005732 | Coprosma serrulata
C00030092 | Coprosma pyrifolium
C00032078 | Coprosma linariifolia Hook.f.
C00001678 | Corynanthe yohimbe
C00001789 | Corynanthe johimbe
C00002499 | Coussarea macrophylla
C00003672 | Coussarea brevicaulis
C00003740 | Coussarea paniculata
C00003741 | Coussarea paniculata
C00003749 | Coussarea paniculata
C00019064 | Coussarea paniculata
C00029509 | Coussarea brevicaulis
C00029633 | Coussarea paniculata
C00029789 | Coussarea brevicaulis
C00031336 | Coussarea brevicaulis
C00034390 | Coussarea paniculata
C00036107 | Coussarea brevicaulis
C00044451 | Coussarea macrophylla
C00010200 | Coutarea hexandra
C00010201 | Coutarea hexandra
C00010204 | Coutarea hexandra
C00010205 | Coutarea hexandra
C00010206 | Coutarea hexandra
C00010208 | Coutarea hexandra
C00010208 | Coutarea latiflora
C00010209 | Coutarea latiflora
C00010230 | Coutarea hexandra
C00010231 | Coutarea hexandra
C00010232 | Coutarea hexandra
C00010233 | Coutarea hexandra
C00010234 | Coutarea hexandra
C00010235 | Coutarea hexandra
C00010248 | Coutarea hexandra
C00010249 | Coutarea hexandra
C00010250 | Coutarea hexandra
C00003072 | Crucianella spp.
C00002499 | Cruciata taurica
C00003072 | Cruciata taurica
C00004631 | Cruciata taurica
C00005372 | Cruciata taurica
C00005413 | Cruciata taurica
C00037002 | Cruciata taurica
C00037003 | Cruciata taurica
C00002814 | Damnacanthus indicus
C00006639 | Damnacanthus macrophyllus
C00032078 | Damnacanthus indicus
C00048682 | Damnacanthus major
C00051097 | Damnacanthus indicus
C00028170 | Deppea blumenaviensis Schumann
C00044268 | Dialypetalum floribundum
C00003081 | Dioecrescis erythroclada
C00010630 | Dioecrescis erythroclada
C00029704 | Dioecrescis erythroclada
C00029811 | Dioecrescis erythroclada
C00037079 | Dunnia sinensis Tutch.
C00037080 | Dunnia sinensis Tutch.
C00003095 | Duroia hirsuta
C00013362 | Duroia hirsuta
C00013363 | Duroia hirsuta
C00013364 | Duroia hirsuta
C00010201 | Exostema caribaeum
C00010203 | Exostema caribaeum
C00010209 | Exostema caribaeum
C00010235 | Exostema caribaeum
C00010238 | Exostema caribaeum
C00010240 | Exostema caribaeum
C00010241 | Exostema caribaeum
C00010245 | Exostema caribaeum
C00010246 | Exostema caribaeum
C00010247 | Exostema caribaeum
C00008753 | Faramea guianensis
C00008754 | Faramea guianensis
C00003097 | Feretia apodanthera
C00010582 | Feretia apodanthera
C00010628 | Feretia apodanthera
C00029704 | Feretia apodanthera
C00000733 | Galium mollugo
C00000734 | Galium mollugo
C00002631 | Galium sinaicum
C00002666 | Galium verum
C00002724 | Galium verum
C00002785 | Galium spp.
C00002786 | Galium spp.
C00002838 | Galium spp.
C00002856 | Galium spp.
C00002857 | Galium spp.
C00002862 | Galium spp.
C00003072 | Galium aparine
C00003072 | Galium asparine
C00003072 | Galium spp.
C00003089 | Galium glaucum
C00003089 | Galium rivale
C00003089 | Galium spp.
C00004166 | Galium mollugo
C00005163 | Galium sinaicum
C00010564 | Galium rivale
C00010618 | Galium mollugo
C00010679 | Galium rivale
C00010791 | Galium album
C00010791 | Galium mollugo
C00029749 | Galium rivale
C00029946 | Galium rivale
C00030093 | Galium rivale
C00030333 | Galium mollugo L.
C00030781 | Galium mollugo
C00031802 | Galium mollugo L.
C00037734 | Galium rivale
C00037735 | Galium rivale
C00037736 | Galium rivale
C00037737 | Galium rivale
C00037738 | Galium rivale
C00051020 | Galium aparine
C00051592 | Galium verum
C00000320 | Gardenia jasminoides
C00000320 | Gardenia spp.
C00000321 | Gardenia jasminoides
C00001075 | Gardenia lucida
C00001165 | Gardenia jasminoides var.grandiflora
C00001260 | Gardenia jasminoides
C00001324 | Gardenia jasminoides
C00003081 | Gardenia jasminoides cv. fortuneana HARA
C00003081 | Gardenia jasminoides f. grandiflora
C00003081 | Gardenia jasminoides var. radicans
C00003097 | Gardenia jasminoides
C00003097 | Gardenia spp.
C00003769 | Gardenia spp.
C00003850 | Gardenia gummifera
C00003850 | Gardenia lucida
C00003876 | Gardenia lucida
C00003883 | Gardenia lucida
C00003907 | Gardenia gummifera
C00003907 | Gardenia lucida
C00003910 | Gardenia lucida
C00003930 | Gardenia spp.
C00003947 | Gardenia spp.
C00003949 | Gardenia jasminoides
C00003949 | Gardenia spp.
C00003950 | Gardenia thailandica
C00003957 | Gardenia gummifera
C00003957 | Gardenia lucida
C00003958 | Gardenia gummifera
C00003958 | Gardenia lucida
C00003959 | Gardenia gummifera
C00003959 | Gardenia lucida
C00003961 | Gardenia gummifera
C00003961 | Gardenia lucida
C00003970 | Gardenia gummifera
C00003970 | Gardenia lucida
C00003972 | Gardenia lucida
C00003976 | Gardenia gummifera
C00003976 | Gardenia lucida
C00004596 | Gardenia spp.
C00004670 | Gardenia fosbergii
C00004825 | Gardenia fosbergii
C00004827 | Gardenia cramerii
C00004827 | Gardenia fosbergii
C00004834 | Gardenia fosbergii
C00010509 | Gardenia jasminoides cv.fortuneana HARA
C00010556 | Gardenia jasminoides
C00010565 | Gardenia jasminoides
C00010629 | Gardenia jasminoides
C00010686 | Gardenia jasminoides
C00010996 | Gardenia jasminoides
C00029633 | Gardenia jasminoides
C00030094 | Gardenia jasminoides cv.fortuneana HARA
C00031802 | Gardenia jasminoides cv.fortuneana HARA
C00032629 | Gardenia jasminoides ELLIS forma grandiflora (Loud.) MAKINO
C00032861 | Gardenia jasminoides
C00032988 | Gardenia jasminoides ELLIS forma grandiflora (Loud.) MAKINO
C00038308 | Gardenia jasminoides
C00039132 | Gardenia jasminoides
C00039484 | Gardenia jasminoides
C00039485 | Gardenia jasminoides
C00039486 | Gardenia jasminoides
C00039487 | Gardenia jasminoides
C00039488 | Gardenia jasminoides
C00041859 | Gardenia aubryi
C00041859 | Gardenia sootepensis
C00041859 | Gardenia tubifera
C00041860 | Gardenia aubryi
C00041861 | Gardenia aubryi
C00042538 | Gardenia jasminoides
C00042554 | Gardenia jasminoides
C00042643 | Gardenia jasminoides
C00042967 | Gardenia scortechinii
C00042968 | Gardenia scortechinii
C00042969 | Gardenia scortechinii
C00042970 | Gardenia scortechinii
C00042971 | Gardenia scortechinii
C00042972 | Gardenia scortechinii
C00042973 | Gardenia scortechinii
C00042974 | Gardenia scortechinii
C00042975 | Gardenia scortechinii
C00042976 | Gardenia scortechinii
C00042977 | Gardenia scortechinii
C00045064 | Gardenia scortechinii
C00045065 | Gardenia scortechinii
C00045066 | Gardenia scortechinii
C00047426 | Gardenia sootepensis
C00047427 | Gardenia sootepensis
C00047577 | Gardenia sootepensis
C00047578 | Gardenia sootepensis
C00047579 | Gardenia sootepensis
C00047580 | Gardenia sootepensis
C00047581 | Gardenia sootepensis
C00047604 | Gardenia sootepensis
C00049304 | Gardenia sootepensis
C00051556 | Gardenia jasminoides
C00051577 | Gardenia jasminoides
C00000320 | Genipa americana L.
C00000321 | Genipa americana
C00003081 | Genipa americana L.
C00010562 | Genipa americana
C00010563 | Genipa americana
C00010564 | Genipa americana
C00010686 | Genipa americana
C00030094 | Genipa americana
C00030360 | Genipa americana
C00031809 | Genipa americana L.
C00031810 | Genipa americana L.
C00031811 | Genipa americana L.
C00031812 | Genipa americana L.
C00026411 | Guettarda noumeana
C00026417 | Guettarda noumeana
C00026466 | Guettarda noumeana
C00000984 | Hamelia patens
C00001409 | Hamelia patens
C00008410 | Hamelia patens
C00000614 | Hedyotis lawsoniae
C00000683 | Hedyotis lawsoniae
C00001059 | Hedyotis dichotoma
C00002499 | Hedyotis capitellata
C00002591 | Hedyotis chrysotricha
C00002814 | Hedyotis capitellata
C00002862 | Hedyotis capitellata
C00003674 | Hedyotis corymbosa
C00003758 | Hedyotis acutangula
C00007204 | Hedyotis chrysotricha
C00013784 | Hedyotis diffusa
C00024110 | Hedyotis lawsoniae (DC.) WIGHT et ARN.
C00024118 | Hedyotis lawsoniae (DC.) WIGHT et ARN.
C00026542 | Hedyotis chrysotricha
C00026547 | Hedyotis capitellata
C00026946 | Hedyotis capitellata
C00026947 | Hedyotis capitellata
C00026948 | Hedyotis capitellata var.molis
C00026949 | Hedyotis capitellata var.molis
C00029633 | Hedyotis dichotoma
C00029749 | Hedyotis hedyotidea
C00030092 | Hedyotis hedyotidea
C00031591 | Hedyotis capitellata
C00031601 | Hedyotis capitellata
C00035553 | Hedyotis capitellata
C00035554 | Hedyotis capitellata
C00035555 | Hedyotis capitellata
C00035556 | Hedyotis capitellata
C00039429 | Hedyotis capitellata
C00044189 | Hedyotis nudicaulis
C00044269 | Hedyotis nudicaulis
C00044270 | Hedyotis nudicaulis
C00044271 | Hedyotis nudicaulis
C00046043 | Hedyotis acutangula
C00049144 | Hedyotis hedyotidea
C00049175 | Hedyotis hedyotidea
C00049916 | Hedyotis dichotoma
C00049934 | Hedyotis dichotoma
C00050538 | Hedyotis auricularia
C00010236 | Hintonia latiflora
C00010237 | Hintonia latiflora
C00001738 | Hodgkinsonia frutescens
C00001760 | Hodgkinsonia frutescens
C00023502 | Hoffmannia strigillosa
C00023503 | Hoffmannia strigillosa
C00002472 | Hymenodictyon excelsum
C00002838 | Hymenodictyon excelsum
C00002844 | Hymenodictyon excelsum
C00002862 | Hymenodictyon excelsum
C00031233 | Hymenodictyon excelsum
C00032078 | Hymenodictyon excelsum
C00050752 | Hymenodictyon excelsum
C00010757 | Isertia haenkeana
C00010758 | Isertia haenkeana
C00010759 | Isertia haenkeana
C00010760 | Isertia haenkeana
C00004140 | Ixora arborea
C00004178 | Ixora arborea
