C00000149 | Callicarpa americana
C00000149 | Callicarpa japonica
C00000153 | Callicarpa americana
C00000206 | Callicarpa integerrima
C00001238 | Callicarpa pilosissima
C00002674 | Callicarpa integerrima
C00002682 | Callicarpa integerrima
C00002783 | Callicarpa formosana
C00003147 | Callicarpa americana
C00003147 | Callicarpa japonica
C00003408 | Callicarpa candicans
C00003672 | Callicarpa arborea
C00003672 | Callicarpa integerrima
C00003672 | Callicarpa macrophylla
C00003672 | Callicarpa pilosissima
C00003674 | Callicarpa pilosissima
C00003738 | Callicarpa arborea
C00003750 | Callicarpa arborea
C00003755 | Callicarpa pilosissima
C00003808 | Callicarpa japonica
C00003820 | Callicarpa pilosissima
C00003841 | Callicarpa japonica
C00004145 | Callicarpa japonica Thunb.var.luxurians Rehd.
C00004603 | Callicarpa pilosissima
C00004655 | Callicarpa formosana
C00004705 | Callicarpa pilosissima
C00004712 | Callicarpa pilosissima
C00004713 | Callicarpa pilosissima
C00012444 | Callicarpa americana
C00012444 | Callicarpa japonica
C00012816 | Callicarpa americana
C00012816 | Callicarpa japonica
C00018441 | Callicarpa americana
C00018441 | Callicarpa japonica
C00019064 | Callicarpa arborea
C00019308 | Callicarpa macrophylla
C00029633 | Callicarpa arborea
C00029633 | Callicarpa formosana
C00029633 | Callicarpa macrophylla
C00029821 | Callicarpa pilosissima
C00029848 | Callicarpa japonica Thunb.var.luxurians Rehd.
C00030317 | Callicarpa japonica Thunb.var.luxurians Rehd.
C00030742 | Callicarpa arborea
C00030742 | Callicarpa macrophylla
C00031070 | Callicarpa japonica Thunb.var.luxurians Rehd.
C00045478 | Callicarpa pilosissima
C00046998 | Callicarpa pilosissima
C00047148 | Callicarpa pilosissima
C00047203 | Callicarpa pilosissima
C00047204 | Callicarpa pilosissima
C00003110 | Caryopteris spp.
C00003411 | Caryopteris divaricata
C00003411 | Caryopteris divericata
C00010569 | Caryopteris x Clandonensis
C00010570 | Caryopteris x Clandonensis
C00036914 | Caryopteris x clandonensis
C00036915 | Caryopteris x clandonensis
C00038795 | Caryopteris x Clandonensis
C00036174 | Catoferia chiapensis
C00036175 | Catoferia chiapensis
C00011029 | Cedronella canariensis
C00036174 | Cedronella canariensis
C00036175 | Cedronella canariensis
C00000602 | Clerodendrum indicum
C00001050 | Clerodendrum phlomidis
C00001165 | Clerodendrum serratum
C00001437 | Clerodendrum grayi
C00001454 | Clerodendrum grayi
C00001777 | Clerodendrum trichotomum
C00002761 | Clerodendrum myricoides
C00002783 | Clerodendrum inerme
C00003021 | Clerodendrum bungei Steud
C00003021 | Clerodendrum nucinatum
C00003021 | Clerodendrum uncinatum
C00003073 | Clerodendrum thomsonae
C00003414 | Clerodendrum trichotomum
C00003415 | Clerodendrum infortunatum
C00003834 | Clerodendrum phlomidis
C00003836 | Clerodendrum inerme
C00003838 | Clerodendrum phlomidis
C00004204 | Clerodendrum infortunatum
C00004207 | Clerodendrum trichotomum
C00007887 | Clerodendrum phlomidis
C00010279 | Clerodendrum trichotomum
C00010601 | Clerodendrum thomsonae
C00010619 | Clerodendrum inerme
C00010621 | Clerodendrum inerme
C00010621 | Clerodendrum thomsonae
C00010626 | Clerodendrum inerme
C00014303 | Clerodendrum phlomidis
C00014325 | Clerodendrum phlomidis
C00029346 | Clerodendrum inerme
C00030098 | Clerodendrum inerme
C00030516 | Clerodendrum inerme
C00030657 | Clerodendrum inerme
C00031274 | Clerodendrum inerme
C00031280 | Clerodendrum inerme
C00031281 | Clerodendrum inerme
C00032760 | Clerodendrum inerme
C00033727 | Clerodendrum infortunatum
C00035203 | Clerodendrum inerme
C00035204 | Clerodendrum inerme
C00036351 | Clerodendrum inerme
C00036352 | Clerodendrum inerme
C00036403 | Clerodendrum inerme
C00036467 | Clerodendrum inerme
C00036634 | Clerodendrum inerme
C00036919 | Clerodendrum inerme
C00037004 | Clerodendrum inerme
C00037783 | Clerodendrum inerme
C00037809 | Clerodendrum inerme
C00038394 | Clerodendrum bungei Steud
C00039729 | Clerodendrum mandarinorum Diels
C00039730 | Clerodendrum mandarinorum Diels
C00039731 | Clerodendrum mandarinorum Diels
C00040477 | Clerodendrum bungei Steud
C00050344 | Clerodendrum indicum
C00050345 | Clerodendrum indicum
C00050346 | Clerodendrum indicum
C00050347 | Clerodendrum indicum
C00050348 | Clerodendrum indicum
C00050349 | Clerodendrum indicum
C00000973 | Clinopodium chinense
C00002770 | Clinopodium chinense var. parviflorum
C00006819 | Clinopodium spp.
C00006827 | Clinopodium vulgare
C00010599 | Clinopodium vulgare
C00010614 | Clinopodium vulgare
C00036174 | Clinopodium vulgare
C00036175 | Clinopodium vulgare
C00047808 | Clinopodium chinense var. parviflorum
C00047809 | Clinopodium chinense var. parviflorum
C00047810 | Clinopodium chinense var. parviflorum
C00047811 | Clinopodium chinense var. parviflorum
C00047812 | Clinopodium chinense var. parviflorum
C00047813 | Clinopodium chinense var. parviflorum
C00047814 | Clinopodium chinense var. parviflorum
C00047815 | Clinopodium chinense var. parviflorum
C00013601 | Colebrookea oppositifolia
C00003795 | Collinsonia canadensis
C00003810 | Collinsonia canadensis
C00004238 | Comanthosphace japonica
C00004239 | Comanthosphace japonica
C00000155 | Coridothymus capitatus
C00000156 | Coridothymus capitatus
C00003040 | Coridothymus capitatus
C00003061 | Coridothymus capitatus
C00036095 | Cornutia grandifolia var.intermedia
C00036096 | Cornutia grandifolia var.intermedia
C00036097 | Cornutia grandifolia var.intermedia
C00036098 | Cornutia grandifolia var.intermedia
C00036099 | Cornutia grandifolia var.intermedia
C00036100 | Cornutia grandifolia var.intermedia
C00036101 | Cornutia grandifolia var.intermedia
C00036102 | Cornutia grandifolia var.intermedia
C00036103 | Cornutia grandifolia var.intermedia
C00036104 | Cornutia grandifolia var.intermedia
C00036105 | Cornutia grandifolia var.intermedia
C00036106 | Cornutia grandifolia var.intermedia
C00001016 | Cunila angustifolia
C00003879 | Cunila angustifolia
C00003879 | Cunila incana
C00003883 | Cunila angustifolia
C00003883 | Cunila fasciculata
C00003898 | Cunila angustifolia
C00003898 | Cunila incana
C00003932 | Cunila angustifolia
C00003936 | Cunila incana
C00004615 | Cyanostegia angustifolia
C00004615 | Cyanostegia microphylla
C00004619 | Cyanostegia angustifolia
C00004692 | Cyanostegia microphylla
C00004733 | Cyanostegia angustifolia
C00004735 | Cyanostegia angustifolia
C00004735 | Cyanostegia microphylla
C00004744 | Cyanostegia spp.
C00008434 | Cyclotrichium niveum
C00036174 | Dauphinea brevilabra
C00036175 | Dauphinea brevilabra
C00000155 | Dracocephalum moldavicum
C00000855 | Dracocephalum moldavicum
C00003035 | Dracocephalum kotschyi
C00003036 | Dracocephalum kotschyi
C00003558 | Dracocephalum kotschyi
C00004262 | Dracocephalum nutans
C00004266 | Dracocephalum rupestre
C00004273 | Dracocephalum thymiflorum
C00006884 | Dracocephalum wilsonii
C00006886 | Dracocephalum wilsonii
C00006887 | Dracocephalum wilsonii
C00019064 | Dracocephalum kotschyi
C00029451 | Dracocephalum kotschyi
C00029633 | Dracocephalum kotschyi
C00031978 | Dracocephalum kotschyi
C00035822 | Dracocephalum moldavicum
C00044673 | Dracocephalum komarovi
C00044727 | Dracocephalum komarovi
C00044849 | Dracocephalum komarovi
C00047438 | Dracocephalum tanguricum
C00047439 | Dracocephalum tanguricum
C00047440 | Dracocephalum tanguricum
C00047441 | Dracocephalum tanguricum
C00000615 | Elsholtzia rugulosa Hemsl.
C00000674 | Elsholtzia bodinieri
C00000674 | Elsholtzia rugulosa Hemsl.
C00000845 | Elsholtzia ciliata
C00000960 | Elsholtzia bodinieri
C00001017 | Elsholtzia bodinieri
C00001189 | Elsholtzia ciliata
C00001437 | Elsholtzia rugulosa Hemsl.
C00001454 | Elsholtzia rugulosa Hemsl.
C00002664 | Elsholtzia nipponica
C00002770 | Elsholtzia rugulosa Hemsl.
C00003794 | Elsholtzia bodinieri
C00003817 | Elsholtzia bodinieri
C00004274 | Elsholtzia rugulosa Hemsl.
C00005373 | Elsholtzia rugulosa Hemsl.
C00008291 | Elsholtzia bodinieri
C00008418 | Elsholtzia ciliata
C00010315 | Elsholtzia densa
C00010316 | Elsholtzia ciliata
C00010317 | Elsholtzia ciliata
C00010317 | Elsholtzia oldhamii
C00013393 | Elsholtzia stauntonii
C00013394 | Elsholtzia stauntonii
C00013395 | Elsholtzia stauntonii
C00030711 | Elsholtzia rugulosa Hemsl.
C00050749 | Elsholtzia ciliata
C00036174 | Endostemon obtusifolius
C00036175 | Endostemon obtusifolius
C00002074 | Eremostachys speciosa
C00010658 | Eremostachys glabra
C00010690 | Eremostachys glabra
C00038286 | Eremostachys glabra
C00038314 | Eremostachys glabra
C00043217 | Eremostachys glabra
C00002615 | Eriope blanchetii
C00002615 | Eriope macrostachya
C00007208 | Eriope blanchetii
C00007208 | Eriope macrostachya
