1 | 1 2 3 4 5 6 7 8 10 11 14 15 16 19 | 118.55 120.24 111.30 136.05 127.13 118.62 108.81 123.60 33.23 173.90 48.85 35.81 175.90 171.40
2 | 1 2 3 4 5 6 8 9 10 11 13 15 16 19 | 120.24 120.42 118.83 128.15 136.65 111.22 124.40 110.85 28.00 57.30 172.31 43.85 176.20 177.54
3 | 1 2 3 4 5 6 7 8 9 | 121.00 116.28 149.00 145.74 114.30 125.90 144.60 115.00 168.25
4 | 1 2 3 4 5 6 9 10 11 14 15 16 17 18 19 | 152.70 103.29 157.90 105.40 144.30 126.70 146.60 136.60 176.70 123.40 130.40 116.30 160.12 116.30 130.40
5 | 1 2 3 4 6 7 10 | 71.02 72.84 67.50 99.22 75.66 60.80 65.00
6 | 1 2 3 4 6 7 10 | 71.09 76.50 67.50 98.20 75.66 61.57 65.58
7 | 1 3 4 5 | 166.60 132.60 132.60 166.60
8 | 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 | 13.97 22.15 32.04 28.72 29.58 29.42 30.72 26.80 38.43 72.43 38.43 26.80 30.72 29.42 29.24 29.42 29.50 29.50 29.50 29.50 29.50 29.50 29.42 29.07 29.04 28.72 32.04 22.15 13.97
9 | 1 2 3 5 6 8 11 | 147.32 107.85 179.90 107.85 147.32 161.11 161.11
10 | 1 2 3 4 5 6 8 9 | 144.23 116.08 124.90 133.32 115.88 145.34 39.50 43.37
11 | 2 3 4 5 | 41.95 30.86 30.86 41.95
12 | 1 2 3 4 5 6 8 9 | 115.06 129.38 130.04 129.38 115.06 156.06 38.80 43.09
13 | 1 2 3 4 5 6 7 8 10 11 12 13 14 17 18 19 20 22 24 26 28 | 148.20 147.20 110.70 129.50 123.40 111.30 26.50 50.40 66.70 84.90 140.80 110.30 167.20 144.50 149.10 113.10 115.50 103.30 45.00 55.60 55.95
14 | 1 2 3 4 5 6 7 8 10 11 12 13 14 16 17 18 19 21 23 24 26 | 147.64 150.00 109.55 130.90 134.20 110.48 31.90 57.10 49.50 128.40 128.90 45.70 193.00 127.10 110.30 147.10 151.10 60.30 55.70 40.70 101.18
15 | 1 2 3 4 5 6 7 8 10 11 13 14 15 16 17 18 19 21 23 25 26 28 30 | 148.30 149.70 105.95 142.87 127.80 113.00 33.77 56.65 66.45 81.23 95.63 114.90 131.55 125.70 110.96 150.63 145.22 61.00 56.02 55.50 42.64 56.15 55.95
16 | 1 2 3 4 5 6 9 10 11 12 13 14 15 17 18 19 20 21 23 | 142.79 131.87 112.60 147.69 150.90 114.73 56.10 64.80 44.30 138.51 137.15 45.45 53.19 42.64 111.41 146.51 147.64 110.48 100.20
17 | 1 2 3 4 5 6 8 10 11 12 13 15 16 18 19 20 22 23 24 | 129.20 130.70 105.00 146.60 146.70 107.30 101.00 41.40 161.40 118.70 181.30 151.10 122.10 54.90 60.50 32.70 45.40 40.80 42.20
18 | 1 2 3 4 5 6 7 8 10 12 13 14 15 16 17 18 19 20 21 23 26 28 | 150.63 145.22 116.20 137.31 127.97 110.96 124.50 139.00 88.79 52.50 39.30 126.60 129.70 123.90 120.20 103.70 147.25 147.30 100.20 101.05 61.00 56.02
19 | 1 2 3 4 5 6 8 10 11 12 13 14 15 16 18 19 20 21 22 24 26 | 129.80 134.50 109.40 147.80 147.15 109.91 55.78 55.95 36.10 67.38 129.80 134.50 36.10 58.78 39.50 109.40 147.80 147.15 109.91 55.78 55.95
20 | 1 2 3 4 5 6 8 10 11 12 14 15 16 17 18 19 20 21 23 | 128.54 125.20 112.24 147.21 146.69 111.12 55.78 55.95 25.52 47.80 64.90 40.40 131.44 130.47 114.91 156.65 114.91 130.47 42.39
21 | 1 2 3 4 5 6 7 8 10 11 12 13 14 15 16 17 18 20 22 24 | 149.30 147.20 104.90 120.90 130.20 107.90 25.80 54.70 137.00 119.70 132.50 120.00 145.00 143.10 149.90 126.20 123.00 56.50 61.40 101.60
22 | 1 2 3 4 5 6 8 10 13 14 16 17 18 19 20 21 22 23 25 27 | 140.80 110.30 144.50 149.10 113.10 115.50 103.30 167.20 84.90 66.20 50.40 29.20 125.30 130.00 107.40 145.80 145.80 108.20 100.80 45.00
